bu_code,a_inw
BU01145200,1105
BU01145201,405
BU01185300,6220
BU01185301,720
BU01185302,2400
BU01185600,5360
BU01185601,255
BU01185800,390
BU01185801,270
BU01185900,350
BU01185901,325
BU01186000,1105
BU01186002,95
BU01186003,225
BU01186100,640
BU01190000,2305
BU01190001,1285
BU01190002,2485
BU01190100,360
BU01190101,80
BU01190200,1205
BU01190201,1455
BU01190202,1235
BU01190300,1995
BU01190301,1610
BU01190500,660
BU01190600,2065
BU01190800,205
BU01190900,15
BU01190901,50
BU01191000,5
BU01191001,5
BU01191002,40
BU01191003,20
BU01191004,40
BU01191100,80
BU01411000,6615
BU01411001,4840
BU01411002,3860
BU01411003,3015
BU01411100,4140
BU01411101,5940
BU01411102,4960
BU01411103,8260
BU01411104,5040
BU01411105,475
BU01411109,240
BU01411200,2640
BU01411201,8360
BU01411202,3560
BU01411203,2610
BU01411204,260
BU01411206,765
BU01411209,315
BU01411300,4890
BU01411301,1315
BU01411302,1590
BU01411303,6480
BU01411304,540
BU01411305,1430
BU01411309,435
BU01411400,1000
BU01411401,200
BU01411402,2610
BU01411403,2790
BU01411404,2280
BU01411405,3710
BU01411406,3255
BU01411409,920
BU01411500,3150
BU01411501,6060
BU01411502,2025
BU01411600,1930
BU01411601,3600
BU01411602,2505
BU01411603,3840
BU01411604,3700
BU01411605,3960
BU01411700,2800
BU01411701,4800
BU01411702,1440
BU01411703,4900
BU01411709,1180
BU01411800,2330
BU01411801,2810
BU01411802,6000
BU01411803,4875
BU01411804,4050
BU01411805,6220
BU01411806,90
BU01411900,1410
BU01411901,5700
BU01411902,7075
BU01411903,6840
BU01411904,3645
BU01411905,2360
BU01411906,4250
BU01411907,1970
BU01411908,465
BU01411909,9165
BU01411920,100
BU01412000,800
BU01412001,3435
BU01412100,4920
BU01412109,4920
BU01470000,9250
BU01470001,3235
BU01470002,1860
BU01470003,4060
BU01470004,1605
BU01470005,1360
BU01470007,1130
BU01470008,3605
BU01470009,1920
BU01470100,1470
BU01470101,1900
BU01470102,750
BU01470105,960
BU01470106,500
BU01480101,2230
BU01480102,1965
BU01480103,3780
BU01480104,6435
BU01480105,6195
BU01480106,5850
BU01480107,555
BU01480108,255
BU01480109,2780
BU01480110,820
BU01480111,790
BU01480112,550
BU01480113,135
BU01480114,795
BU01480115,385
BU01480116,2190
BU01480117,1920
BU01480201,2025
BU01480202,1105
BU01480203,2000
BU01480204,775
BU01480205,1630
BU01480206,110
BU01480207,150
BU01480208,620
BU01480209,460
BU01480210,695
BU01480211,510
BU01480301,1155
BU01480302,1640
BU01480304,65
BU01480305,690
BU01480306,1110
BU01500101,14850
BU01500102,3400
BU01500103,4125
BU01500104,1720
BU01500105,7000
BU01500106,4675
BU01500107,9450
BU01500201,4600
BU01500301,4340
BU01500302,9740
BU01500303,6080
BU01500304,10800
BU01500305,7040
BU01500306,8780
BU01500401,10120
BU01500402,4065
BU01500403,3870
BU01500404,5790
BU01500405,4575
BU01500406,3920
BU01500407,430
BU01500501,7310
BU01500502,5145
BU01500601,7710
BU01500602,5445
BU01500603,3060
BU01500604,2445
BU01500605,4280
BU01500701,5400
BU01500702,12440
BU01500703,2680
BU01500704,825
BU01500705,1020
BU01500706,75
BU01500801,9100
BU01500802,8180
BU01500803,6220
BU01500901,5740
BU01500902,1765
BU01500903,430
BU01500904,2045
BU01500905,2780
BU01500906,2730
BU01500907,255
BU01501001,1380
BU01501002,4800
BU01501004,9120
BU01501005,3860
BU01501006,5560
BU01501007,4155
BU01501008,4650
BU01501010,90
BU01501101,4640
BU01501102,210
BU01501103,430
BU01501201,5465
BU01501202,1860
BU01501301,945
BU01501401,640
BU01501403,1910
BU01501502,1460
BU01501503,720
BU01501504,550
BU01501505,480
BU01530002,2460
BU01530003,5670
BU01530004,5900
BU01530005,8920
BU01530006,4120
BU01530007,6640
BU01530008,1240
BU01530100,4830
BU01530101,1250
BU01530102,4620
BU01530103,7080
BU01530104,1140
BU01530105,30
BU01530106,380
BU01530200,3330
BU01530201,11145
BU01530202,4030
BU01530203,9240
BU01530204,3700
BU01530205,7800
BU01530206,4995
BU01530207,6000
BU01530208,4395
BU01530300,14535
BU01530301,4160
BU01530400,5000
BU01530401,3570
BU01530403,5490
BU01530404,9000
BU01530406,3130
BU01530500,2460
BU01530501,1860
BU01530502,3420
BU01530503,995
BU01530600,13020
BU01530601,13800
BU01530602,7185
BU01530603,3865
BU01530604,13185
BU01530605,8355
BU01530606,4515
BU01530607,7570
BU01530608,7490
BU01530609,1395
BU01530700,645
BU01530701,180
BU01530702,30
BU01530703,20
BU01530800,2310
BU01530801,5930
BU01530802,5600
BU01530803,3420
BU01530804,4640
BU01530805,4050
BU01530806,540
BU01530807,1800
BU01530808,9105
BU01530900,3840
BU01530901,5340
BU01530902,1845
BU01530903,355
BU01530904,885
BU01530905,4575
BU01530906,640
BU01530907,2060
BU01530908,360
BU01580001,9875
BU01580002,4150
BU01580003,3705
BU01580004,3135
BU01580010,6850
BU01580011,3030
BU01580020,1825
BU01580030,7480
BU01580040,6650
BU01580041,7500
BU01580050,2425
BU01580051,2600
BU01580052,4175
BU01580053,5300
BU01580060,11000
BU01580090,405
BU01580091,40
BU01580160,130
BU01580180,1860
BU01580190,6375
BU01580200,1890
BU01580290,2100
BU01580300,1040
BU01580390,1960
BU01580490,240
BU01580590,135
BU01580690,900
BU01580900,4460
BU01600101,145
BU01600102,850
BU01600201,155
BU01600301,50
BU01600401,1005
BU01600402,615
BU01600404,320
BU01600405,105
BU01600501,2475
BU01600502,1080
BU01600503,555
BU01600601,630
BU01600701,370
BU01600803,1000
BU01600804,235
BU01600805,195
BU01600901,9340
BU01600902,6710
BU01600903,8910
BU01600904,1110
BU01600905,720
BU01600906,285
BU01600907,940
BU01600908,520
BU01600909,440
BU01601001,185
BU01601101,280
BU01601201,1475
BU01601202,3580
BU01601301,545
BU01601401,180
BU01601601,460
BU01601701,1135
BU01601702,355
BU01601801,200
BU01601901,1690
BU01601902,470
BU01601903,510
BU01601904,440
BU01602001,1530
BU01602002,380
BU01602101,1210
BU01602201,855
BU01602301,1240
BU01602401,1120
BU01602402,1305
BU01602501,795
BU01602502,615
BU01602602,70
BU01602603,155
BU01602604,1275
BU01602701,200
BU01602803,2125
BU01602806,3275
BU01602807,3840
BU01602901,1290
BU01602902,1330
BU01630101,2850
BU01630102,4920
BU01630103,2400
BU01630104,4250
BU01630105,6240
BU01630106,2250
BU01630201,1560
BU01630202,5080
BU01630203,200
BU01630301,3100
BU01630302,2550
BU01630303,4740
BU01630304,2390
BU01630401,2600
BU01630402,5340
BU01630403,1925
BU01630404,4110
BU01630405,6060
BU01630406,9120
BU01630407,360
BU01630408,2445
BU01630501,5495
BU01630503,480
BU01630504,25
BU01630505,2460
BU01630506,3000
BU01630507,1005
BU01630508,3380
BU01630509,820
BU01630510,1605
BU01630601,945
BU01630602,9900
BU01630603,1000
BU01630604,6680
BU01630605,5520
BU01630606,2120
BU01630700,1090
BU01630800,1785
BU01630900,805
BU01640000,3285
BU01640001,2295
BU01640002,2090
BU01640100,4605
BU01640101,7020
BU01640102,5780
BU01640103,150
BU01640200,7950
BU01640201,2155
BU01640202,4260
BU01640203,3080
BU01640204,300
BU01640300,4190
BU01640301,1330
BU01640302,2410
BU01640303,2200
BU01640304,2870
BU01640305,2210
BU01640306,3060
BU01640307,3330
BU01640308,2200
BU01640309,150
BU01640400,2500
BU01640401,6300
BU01640402,2510
BU01640403,6150
BU01640500,15
BU01640501,6670
BU01640502,2870
BU01640503,195
BU01640504,3660
BU01640505,2850
BU01640506,45
BU01640600,60
BU01640601,5955
BU01640602,5590
BU01640603,60
BU01640604,8820
BU01640605,810
BU01640700,345
BU01640701,3330
BU01640702,5000
BU01640703,5690
BU01640704,470
BU01640800,4850
BU01640801,7020
BU01640802,6480
BU01640803,8325
BU01640804,20
BU01640805,3330
BU01640900,3030
BU01640901,165
BU01640902,160
BU01640903,230
BU01640904,580
BU01640905,645
BU01640906,550
BU01640907,70
BU01640909,2790
BU01660001,3580
BU01660003,2995
BU01660004,2420
BU01660005,7160
BU01660006,1090
BU01660007,3070
BU01660008,13870
BU01660009,3990
BU01660010,6170
BU01660013,3220
BU01660015,7970
BU01660016,345
BU01660017,140
BU01660019,85
BU01660225,60
BU01660301,3805
BU01660302,430
BU01660303,215
BU01660304,650
BU01660305,1130
BU01660306,240
BU01660307,2000
BU01660500,835
BU01660501,70
BU01660600,1050
BU01660700,2880
BU01660800,660
BU01680001,15510
BU01680002,160
BU01680003,4960
BU01680009,1720
BU01680101,205
BU01680102,140
BU01680109,460
BU01680201,7180
BU01680209,565
BU01680301,7980
BU01680309,5240
BU01710527,835
BU01710528,10
BU01710529,15
BU01710530,700
BU01710631,2075
BU01710632,70
BU01710633,1245
BU01710734,1145
BU01710735,30
BU01710736,820
BU01730100,15420
BU01730200,12600
BU01730300,25060
BU01730500,9175
BU01730600,15640
BU01730700,120
BU01730800,800
BU01730900,285
BU01731000,1100
BU01731100,35130
BU01731200,37030
BU01731300,26850
BU01731400,800
BU01750101,1995
BU01750102,20
BU01750103,4290
BU01750104,90
BU01750105,210
BU01750106,180
BU01750107,80
BU01750108,780
BU01750109,770
BU01750110,150
BU01750111,360
BU01750112,45
BU01750113,1470
BU01750114,1485
BU01750115,2530
BU01750116,3070
BU01750117,3420
BU01750118,4065
BU01750119,1780
BU01750120,30
BU01750121,2000
BU01750122,220
BU01750123,150
BU01750124,615
BU01750125,1580
BU01750126,135
BU01750201,900
BU01750202,170
BU01750401,505
BU01750402,190
BU01750403,460
BU01750501,680
BU01750601,675
BU01750701,4925
BU01750702,1960
BU01750703,450
BU01750801,300
BU01750802,1170
BU01751001,295
BU01751002,140
BU01751101,85
BU01751102,405
BU01751103,160
BU01770101,870
BU01770102,1530
BU01770103,720
BU01770104,1280
BU01770105,1525
BU01770106,1735
BU01770107,1895
BU01770108,1245
BU01770109,35
BU01770110,1870
BU01770111,6420
BU01770112,4815
BU01770113,3940
BU01770114,1660
BU01770115,870
BU01770116,320
BU01770119,3090
BU01770201,2690
BU01770209,1800
BU01770301,780
BU01770309,725
BU01770401,1470
BU01770409,510
BU01770501,14340
BU01770509,6625
BU01770601,1500
BU01770701,1260
BU01770702,1550
BU01770704,1005
BU01770705,85
BU01770801,560
BU01770809,185
BU01770901,1365
BU01770909,1020
BU01800206,240
BU01800209,460
BU01800509,1980
BU01800709,120
BU01830000,28170
BU01830009,6540
BU01830100,10125
BU01830109,9420
BU01830200,1900
BU01830201,230
BU01830209,1410
BU01830300,7590
BU01830309,7120
BU01830400,3040
BU01830409,2650
BU01830600,1430
BU01830609,1680
BU01830700,2160
BU01830709,700
BU01890000,1415
BU01890001,495
BU01890002,2135
BU01890003,3620
BU01890004,5190
BU01890005,1790
BU01890006,410
BU01890008,2540
BU01890106,70
BU01890107,360
BU01890108,1155
BU01890109,295
BU01890200,305
BU01890209,785
BU01890300,7250
BU01890301,10200
BU01890302,10425
BU01890303,100
BU01890405,950
BU01890406,1060
BU01890407,1035
BU01890408,2760
BU01890409,1545
BU01890507,760
BU01890508,1210
BU01890509,990
BU01931000,4740
BU01931010,1820
BU01931020,1730
BU01931100,5010
BU01931110,690
BU01931120,1735
BU01931130,1040
BU01931140,865
BU01931150,6850
BU01931160,1010
BU01931170,740
BU01931180,850
BU01931200,9225
BU01931210,10080
BU01931300,2830
BU01931310,8440
BU01931320,6170
BU01931330,2400
BU01931340,6420
BU01931350,120
BU01931360,3300
BU01931400,6810
BU01931410,5700
BU01932000,100
BU01932020,640
BU01932110,2575
BU01932120,615
BU01932130,5
BU01932140,10
BU01932200,13190
BU01932210,100
BU01932220,12600
BU01932230,5280
BU01932240,13990
BU01932250,15
BU01932260,2790
BU01932270,3000
BU01932280,165
BU01933000,9675
BU01933010,5640
BU01933020,7950
BU01933030,8820
BU01933100,4440
BU01933110,11580
BU01933120,15340
BU01933130,6750
BU01933200,625
BU01933210,240
BU01933220,285
BU01934000,7770
BU01934010,20
BU01934020,540
BU01934030,1560
BU01934040,80
BU01934050,540
BU01934100,810
BU01934110,350
BU01934120,1210
BU01935000,4290
BU01935010,2955
BU01935020,4335
BU01935030,7710
BU01935040,7020
BU01935050,4260
BU01935060,6310
BU01935070,510
BU01935080,1300
BU01935100,4440
BU01935110,7620
BU01935120,4530
BU01935130,2415
BU01935140,12100
BU01935150,6080
BU01935160,200
BU01935200,2050
BU01935210,980
BU01970101,120
BU01970102,940
BU01970103,1050
BU01970104,490
BU01970106,510
BU01970107,765
BU01970108,1995
BU01970109,315
BU01970110,1310
BU01970111,1090
BU01970112,90
BU01970201,215
BU01970202,195
BU01970203,75
BU01970204,1475
BU01970301,3990
BU01970302,7185
BU01970303,4365
BU01970305,1990
BU01970400,5750
BU01970401,1740
BU01970402,2350
BU01970403,370
BU01970408,270
BU01970409,1350
BU02000201,2975
BU02000202,1505
BU02000203,8690
BU02000204,4270
BU02000205,9220
BU02000206,12820
BU02000207,10
BU02000301,3555
BU02000302,165
BU02000303,2410
BU02000304,3670
BU02000305,1755
BU02000306,2470
BU02000307,340
BU02000308,150
BU02000309,280
BU02000310,250
BU02000311,675
BU02000402,4985
BU02000403,3015
BU02000404,3525
BU02000405,5510
BU02000406,480
BU02000407,570
BU02000408,200
BU02000409,10
BU02000501,4200
BU02000502,2870
BU02000503,10160
BU02000504,4635
BU02000505,5635
BU02000506,2750
BU02000507,140
BU02000508,10
BU02000602,4410
BU02000603,9860
BU02000604,11920
BU02000605,4220
BU02000606,10
BU02000608,160
BU02000703,6500
BU02000704,4420
BU02000705,7980
BU02000706,1120
BU02000708,6385
BU02000709,1370
BU02000801,2600
BU02000802,1220
BU02000803,4190
BU02000804,1340
BU02000805,1040
BU02000806,3690
BU02000807,130
BU02000808,165
BU02000809,830
BU02001001,4430
BU02001002,1200
BU02001103,100
BU02001104,200
BU02001201,720
BU02001202,120
BU02001203,555
BU02001204,870
BU02001301,1000
BU02001302,11475
BU02001303,4000
BU02001401,5160
BU02001402,405
BU02001403,870
BU02001404,1505
BU02001501,1370
BU02001502,535
BU02001503,345
BU02001601,510
BU02001602,1995
BU02001603,3400
BU02001604,720
BU02001701,800
BU02001702,390
BU02001704,980
BU02001705,730
BU02001706,2775
BU02020211,3310
BU02020212,2045
BU02020314,2260
BU02020320,2630
BU02020321,665
BU02020338,130
BU02020339,535
BU02020423,2235
BU02020424,2195
BU02020425,13335
BU02020526,21280
BU02020527,2420
BU02020528,4815
BU02020529,20
BU02020735,1435
BU02020840,1680
BU02020841,1190
BU02020842,195
BU02020843,1945
BU02020844,6495
BU02020845,8740
BU02020952,3250
BU02021053,11535
BU02021154,4380
BU02021155,3090
BU02021159,2510
BU02021264,5715
BU02021269,20
BU02021365,3330
BU02021366,500
BU02021367,4140
BU02021368,960
BU02021572,2210
BU02021681,260
BU02021682,4465
BU02021780,5010
BU02021783,6870
BU02021798,4785
BU02021815,6500
BU02021884,4530
BU02021885,2340
BU02021886,3450
BU02021887,4520
BU02021888,7320
BU02021989,4175
BU02021990,8505
BU02021993,18700
BU02022092,14525
BU02022191,14720
BU02022194,9180
BU02022197,14150
BU02022295,23460
BU02022296,24240
BU02022316,15450
BU02022317,24600
BU02022318,22500
BU02022319,2840
BU02022447,38670
BU02022448,11420
BU02022449,46200
BU02035400,13650
BU02035401,8825
BU02035402,4860
BU02035403,4925
BU02035404,9740
BU02035405,8640
BU02035406,3500
BU02035407,5840
BU02035408,26160
BU02035409,8700
BU02035410,13620
BU02035411,9720
BU02035412,13940
BU02035413,180
BU02035414,30210
BU02035415,26100
BU02035425,165
BU02035426,120
BU02035530,10080
BU02035531,1860
BU02035532,1890
BU02035533,1230
BU02035534,1005
BU02035535,4140
BU02035536,810
BU02035537,2415
BU02035538,3315
BU02035539,2840
BU02035540,2010
BU02035541,2840
BU02035650,3665
BU02035651,1675
BU02035652,500
BU02035780,1710
BU02035781,1300
BU02035875,2445
BU02035876,1365
BU02035877,690
BU02035960,1980
BU02035961,1400
BU02036070,815
