dest_station_id,a_inw,share_30
277,3325,4.6671322663319173e-05
278,453865,0.006370670634763115
279,323865,0.0045459271922874776
280,103790,0.0014568470914965103
281,64475,0.0009050025650278206
282,260900,0.0036621197241684124
283,102025,0.0014320726901428987
284,185555,0.0026045405343735908
285,210030,0.0029480835786396768
286,116280,0.0016321628268543618
287,276535,0.0038815802143461553
288,199980,0.002807016874048291
289,296760,0.004165468184531307
290,270125,0.0037916063261440873
291,192965,0.0027085509105947017
292,75330,0.0010573686424745362
293,623860,0.00875680341556039
294,54545,0.0007656202389987201
295,188160,0.0026411055856631984
296,201400,0.0028269486870353324
297,930850,0.013065864872526511
298,117630,0.0016511120856800704
299,257155,0.003609553076537095
300,109725,0.0015401536478895327
301,328645,0.004613021605018505
302,102120,0.0014334061565047078
303,365495,0.005130266188520253
304,212780,0.002986683920692046
305,193335,0.002713744411161748
306,297330,0.004173468982702162
307,68320,0.0009589728614610424
308,55925,0.0007849905924649999
309,108645,0.0015249942408289657
310,187570,0.002632824057731963
311,215375,0.0030231086071014633
312,51080,0.0007169838080127348
313,175910,0.0024691586074299175
314,257565,0.003615308036624903
315,254625,0.0035740407618489152
316,22080,0.00030992565546047736
317,34345,0.0004820831810140442
318,488695,0.006859561512466395
319,903535,0.012682458202286341
320,923610,0.012964240699268638
321,893765,0.012545321714340288
322,871860,0.012237852444283144
323,342080,0.004801601821554352
324,125095,0.001755894468742229
325,44225,0.0006207636826421925
326,103915,0.0014586016524988908
327,121040,0.0016989765098250082
328,37345,0.0005241926450711743
329,267015,0.0037479528484048626
330,35485,0.0004980847773557536
331,199535,0.002800770636879817
332,237490,0.0033335255396426075
334,381725,0.005358078389069327
335,63055,0.000885070752040779
336,64740,0.0009087222343528671
337,243050,0.0034115684130284884
338,255335,0.0035840066683424363
339,227645,0.0031953363150951253
340,213185,0.0029923686983397584
341,62520,0.0008775612309505908
342,60500,0.0008492075251521232
343,275935,0.003873158321534729
344,232655,0.0032656591200705327
345,56705,0.0007959390531198537
346,254255,0.0035688472612818694
347,237395,0.0033321920732807984
348,242550,0.003404550169018967
349,245555,0.0034467298155161923
350,266080,0.003734828732107057
351,11805,0.00016570074106480687
352,246105,0.003454449883926666
353,265100,0.0037210729738483945
354,354595,0.00497726846911268
355,71870,0.0010088023939286463
356,262250,0.003681068982994121
357,68180,0.0009570077531383763
358,73055,0.0010254356322312126
359,303300,0.004257266816175851
360,152815,0.002144985916630111
361,295580,0.0041489051286688365
362,125250,0.0017580701243851808
363,128660,0.0018059345485301186
364,200880,0.0028196497132654303
365,83870,0.0011772402501571667
366,437025,0.006134296176522424
367,194995,0.00273704498127336
368,85685,0.0012027164759117303
369,71920,0.0010095042183295984
370,150765,0.002116211116191072
371,123615,0.0017351204664740449
372,70245,0.0009859931008977007
373,156860,0.002201763510667141
374,189690,0.0026625814123323347
375,243325,0.0034154284472337256
376,262665,0.0036868941255220242
377,12850,0.00018036887104470718
378,23680,0.0003323840362909468
379,310100,0.004352714934705346
380,89650,0.0012583711509072371
381,41725,0.0005856724625945841
382,986430,0.01384601287662494
383,926350,0.013002700676440816
384,37185,0.0005219468069881273
385,451760,0.006341123827483028
386,63405,0.0008899835228474442
387,127900,0.0017952668176356456
388,78840,0.0011066367154213784
389,129850,0.0018226379692727803
390,390335,0.0054789325509132895
391,82860,0.0011630633972579327
392,72535,0.00101813665846131
393,45050,0.0006323437852579034
