bu_code,potential
BU00141005,10198.212311414249
BU00141100,37749.591031276264
BU00141101,36952.93445372823
BU00141102,15841.918124655094
BU00141103,5963.251514960448
BU00141104,1748.348872953441
BU00141105,293.86175353721785
BU00141106,498.86416023826683
BU00141107,32.67147411236795
BU00141200,19671.504595514944
BU00141201,20352.71215313771
BU00141202,10635.36423215802
BU00141203,14100.018336146904
BU00141204,14617.268890449748
BU00141205,0.0
BU00141206,1348.5532120404498
BU00141207,0.0
BU00141208,5429.739669260583
BU00141209,559.2205844079698
BU00141210,2817.3374399107915
BU00141211,7757.038241523685
BU00141300,652.5715113108452
BU00141301,5182.508963178804
BU00141302,445.20564274271305
BU00141400,9124.486774986028
BU00141401,1015.2776095768412
BU00141402,370.4916599967047
BU00141403,2442.087688668816
BU00141404,5679.431762291079
BU00141405,1232.1012154010753
BU00141406,0.0
BU00141500,22508.756263469124
BU00141501,386.7860626555016
BU00141502,2639.090229847974
BU00141503,2867.233586462711
BU00141504,1001.6851481409824
BU00141505,406.7056261467717
BU00141506,220.8112679328621
BU00141600,2984.458344920941
BU00141601,360.6701241829936
BU00141602,1519.354596249629
BU00141603,579.1380425994522
BU00141604,302.0459476569005
BU00141605,855.809081327566
BU00141700,6605.659651533367
BU00141701,21455.83198278354
BU00141702,18920.691302487867
BU00141703,21918.552452657423
BU00141704,567.4747739178337
BU00141705,85.34126897981041
BU00141706,191.36828320804446
BU00141707,1070.6210200947733
BU00141708,1796.0377400626094
BU00141709,0.0
BU00141710,0.0
BU00141800,23572.066103745645
BU00141801,4181.076054558137
BU00141802,154.05538326416226
BU00141803,0.0
BU00141900,4644.713199633846
BU00141901,2006.738913807221
BU00141902,1353.78125687427
BU00141903,1152.933808368117
BU00141904,1293.1633739777726
BU00141905,660.1397909964697
BU00141906,19.94975732472901
BU00141907,18.059924082571644
BU00141908,0.0
BU00141909,0.0
BU00340101,5593.071305546784
BU00340102,7041.68725310918
BU00340201,4091.1128999751804
BU00340202,4768.795799552003
BU00340203,3881.020070317665
BU00340204,3571.6219579730696
BU00340205,3975.32491303664
BU00340301,4914.781659827188
BU00340302,6320.194160344297
BU00340303,7458.161665217101
BU00340304,0.0
BU00340401,4760.1958975340995
BU00340402,5315.271842982685
BU00340403,4913.935016514295
BU00340501,5939.410260804577
BU00340502,5928.551930540068
BU00340503,3888.3851767917786
BU00340504,0.0
BU00340601,9908.679732058357
BU00340602,7864.913216878933
BU00340603,3633.45630262895
BU00340604,0.0
BU00340605,0.0
BU00340606,0.0
BU00340701,8128.0290190833375
BU00340702,3926.301859357628
BU00340703,8663.082794371485
BU00340704,0.0
BU00340801,7632.6226293588
BU00340802,8266.426452748185
BU00340803,11738.92498466365
BU00340901,4172.097701569229
BU00340902,7585.454448085057
BU00341001,3222.9421983154084
BU00341002,0.0
